Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOF  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[0, 0, 0], 2=[0, 0, 0]} 0  0 
WTC  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 3  3 
WTC  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 4  3 
WTC  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 15 {1=[4, 5, 1], 2=[4, 5, 1]} 4  4 
WTC  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 14 {1=[4, 5, 1], 2=[4, 5, 1]} 4  4 
Game 3 was won by team B by knock out in 4 trials.
Game 3 was won by team B by points.
EOG  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 14 {1=[4, 5, 1], 2=[4, 5, 1]} 4  4 
EOM  WCTL SAB 10 SAB 24 SAB  9 SAB 10 SAB  7  WCTL SAB 13 SAB  6 SAB  9 SAB 19 SAB 14 {1=[4, 5, 1], 2=[4, 5, 1]} 4  4 
Match was won by team B (2-1).

SIMULATION ENDED!

Legend: 
Ref Sta    – state of the referee 
Coa # Stat - state of the coach of team # (# - 1 .. 2) 
Cont # Sta – state of the contestant # (# - 1 .. 5) of team whose coach was listed to the immediate left
Cont # SG  – strength of the contestant # (# - 1 .. 5) of team whose coach was listed to the immediate left
TRIAL – ?  – contestant identification at the position ? at the end of the rope for present trial (? - 1 .. 3)
TRIAL – NB – trial number
TRIAL – PS – position of the centre of the rope at the beginning of the trial

@authors Gabriel Vieira (68021) gabriel.vieira@ua.pt / Rui Oliveira (68779) ruipedrooliveira@ua.pt
